codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,boca_chica,boca_grande,largo,posicion,lado,dimensiones
10046,FUELLE,FIAT / FORD,KUGA / RANGER / TORO,12>17,FUELLE TRANSMISIÓN FORD RANGER (12-17) - KUGA 1.6/2.5 T (10…) - FIAT TORO M/T - A/T 2.0 | (CON LOBULOS),AB39-3C290-CA,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10046-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10046/,SERRAT,Código: 10046,TRANSMISIÓN,29,92,128,CAJA,IZQ/DER,29 x 92 x 128
10047,FUELLE,CHEVROLET,CAPTIVA / CRUZE / TRACKER,10>,FUELLE TRANSMISIÓN CHEVROLET CRUZE (10…) - TRAKER (13…) - CAPTIVA (96) - | (CON LOBULOS),26138130,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10047-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10047/,SERRAT,Código: 10047,TRANSMISIÓN,26,83,101,CAJA,IZQ/DER,26 x 83 x 101
10048,FUELLE,FIAT,DUCATO,99>,FUELLE TRANSMISIÓN FIAT DUCATO (99…) - | (CON LOBULOS),71771168,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10048-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10048/,SERRAT,Código: 10048,TRANSMISIÓN,28,95,94,CAJA,IZQ/DER,28 x 95 x 94
10049,FUELLE,TOYOTA,COROLLA,16>,FUELLE TRANSMISIÓN TOYOTA COROLLA (16...) - | (CON LOBULOS),04427-02560,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10049-1.jpg,https://serratsrl.com.ar/producto/codigos-10049/,SERRAT,Código: 10049,TRANSMISIÓN,22,78,80,CAJA,IZQ/DER,22 x 78 x 80
10050,FUELLE,PEUGEOT,EXPERT,12>,FUELLE TRANSMISIÓN PEUGEOT EXPERT (12…) - | (CON LOBULOS),9803111880,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10050-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10050/,SERRAT,Código: 10050,TRANSMISIÓN,30,90,90,CAJA,IZQ/DER,30 x 90 x 90
10051,FUELLE,CHERY / FORD,KA / QQ,16>,FUELLE TRANSMISIÓN FORD KA (16…) / CHERY QQ,3B5-4A084-AA,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10051-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10051/,SERRAT,Código: 10051,TRANSMISIÓN,23,71,111,RUEDA,IZQ/DER,23 x 71 x 111
10052,FUELLE,FORD,KA,16>,FUELLE TRANSMISIÓN FORD KA (16...) - | (CON LOBULOS),E3B5-4A084-BA,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10052-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10052/,SERRAT,Código: 10052,TRANSMISIÓN,,,,CAJA,IZQ/DER,
10053,FUELLE,NISSAN / TOYOTA,4RUNNER / HILUX / MURANO / X-TRAIL,17>,FUELLE TRANSMISIÓN TOYOTA HILUX (17…) - 4RUNNER (96...) / NISSAN MURANO -X TRAIL (14...) - | (CON LOBULOS),04427-0K050,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10053-1-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10053/,SERRAT,Código: 10053,TRANSMISIÓN,28,97,98,CAJA,IZQ/DER,28 x 97 x 98
10054,FUELLE,PEUGEOT,206 / 207 / 208,99>13,FUELLE TRANSMISIÓN PEUGEOT 207 - 208 (13...) - PARTNER (11…) - 206 (99-13) - | (CON LOBULOS),,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10054-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10054/,SERRAT,Código: 10054,TRANSMISIÓN,24,75,90,CAJA,IZQ/DER,24 x 75 x 90
10055,FUELLE,TOYOTA,COROLLA,02>,Detalles: | FUELLE TRANSMISIÓN TOYOTA COROLLA (02...) - | (CON LOBULOS) | | Lado/Posición: | | Caja Izq-Der. | | Contenido: | | 1 Fuelle. | | |,,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10055-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10055/,SERRAT,Código: 10055,TRANSMISIÓN,23,83,100,CAJA,IZQ/DER,23 x 83 x 100
10056,FUELLE,TOYOTA / VOLKSWAGEN,RAV4 / SHARAN,95>10,FUELLE DE TRANSMISIÓN TOYOTA RAV4 (94... ) / V.W SHARAN (95-10) - | (CON LOBULOS),,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10056-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10056/,SERRAT,Código: 10056,TRANSMISIÓN,28,93,115,CAJA,IZQ/DER,28 x 93 x 115
10057,FUELLE,VOLKSWAGEN,NIVUS / T-CROSS,20>,FUELLE DE TRANSMISIÓN V.W T-CROSS (20...) NIVUS (20...) - | (CON LOBULOS),2QB-407283-E,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10057-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10057/,SERRAT,Código: 10057,TRANSMISIÓN,25,83,120,IZQUIERDO / DERECHO,IZQ/DER,25 x 83 x 120
10058,FUELLE,FORD,RANGER,12>,FUELLE TRANSMISION FORD RANGER (12...) - | (CARDAN),2860052,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/TRANSMISION_10058-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10058/,SERRAT,Código: 10058,TRANSMISIÓN,30,62,120,CARDAN,,30 x 62 x 120
10059,FUELLE,CHERY,QQ,,FUELLE TRANSMISION CHERY QQ (TODOS LOS MODELOS) - | (CON LOBULOS),,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10059-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10059/,SERRAT,Código: 10059,TRANSMISIÓN,24,75,80,CAJA,IZQ/DER,24 x 75 x 80
