fuente,codigo,producto,marca,modelo,anio,info,oem,imagen_producto,url_ficha,categorias,lado
REY GOMA,9028,SOPORTE / GOMA-METAL,ACCESORIOS,"Complementos para automotores, industrias y otros usos",,Fuelle universal adaptable para 4×4 y utilitarios,,https://reygoma.com.ar/wp-content/uploads/2018/12/9028.gif,https://reygoma.com.ar/producto/art-9028/,"ACCESORIOS | Complementos para automotores, industrias y otros usos",
REY GOMA,9027,SOPORTE / GOMA-METAL,ACCESORIOS,"Complementos para automotores, industrias y otros usos",,Saca filtros de aceite RG (grande),grande,https://reygoma.com.ar/wp-content/uploads/2018/12/90271x1.gif,https://reygoma.com.ar/producto/art-9027/,"ACCESORIOS | Complementos para automotores, industrias y otros usos",
REY GOMA,9026,SOPORTE / GOMA-METAL,ACCESORIOS,"Complementos para automotores, industrias y otros usos",,Saca filtros de aceite RG (chico),chico,https://reygoma.com.ar/wp-content/uploads/2018/12/90261x1.gif,https://reygoma.com.ar/producto/art-9026/,"ACCESORIOS | Complementos para automotores, industrias y otros usos",
REY GOMA,9024,SOPORTE / GOMA-METAL,ACCESORIOS,"Complementos para automotores, industrias y otros usos",,Juego cubrebornes y terminales de batería,,https://reygoma.com.ar/wp-content/uploads/2018/12/90241x1.gif,https://reygoma.com.ar/producto/art-9024/,"ACCESORIOS | Complementos para automotores, industrias y otros usos",
REY GOMA,9023,SOPORTE / GOMA-METAL,ACCESORIOS,"Complementos para automotores, industrias y otros usos",,Fuelle semi eje universal adaptable,,https://reygoma.com.ar/wp-content/uploads/2018/12/9023.gif,https://reygoma.com.ar/producto/art-9023/,"ACCESORIOS | Complementos para automotores, industrias y otros usos",
REY GOMA,9021,SOPORTE / GOMA-METAL,ACCESORIOS,"Complementos para automotores, industrias y otros usos",,Fuelle cremallera dirección universal adaptable,,https://reygoma.com.ar/wp-content/uploads/2018/12/9021.gif,https://reygoma.com.ar/producto/art-9021/,"ACCESORIOS | Complementos para automotores, industrias y otros usos",
REY GOMA,5005,SOPORTE / GOMA-METAL,ALFA ROMEO,,,"(7601064) Silentblock central brazo de suspensión delantera (20.9mm) modelos 145, 146, 155 y 164.",7601064 | 20.9mm,https://reygoma.com.ar/wp-content/uploads/2018/10/imp6535.jpg,https://reygoma.com.ar/producto/art-5005/,ALFA ROMEO,CENTRO
REY GOMA,5004,SOPORTE / GOMA-METAL,ALFA ROMEO,,,"(7601055) Silentblock exterior brazo de suspensión izquierdo (20.9mm) modelos 145, 146, 155 y 164",7601055 | 20.9mm,https://reygoma.com.ar/wp-content/uploads/2018/10/imp5004.jpg,https://reygoma.com.ar/producto/art-5004/,ALFA ROMEO,IZQUIERDO
REY GOMA,5003,SOPORTE / GOMA-METAL,ALFA ROMEO,,,"(7601068) Silentblock extremo brazo de suspensión derecho (20.9mm) modelos 145, 146, 155 y 164.",7601068 | 20.9mm,https://reygoma.com.ar/wp-content/uploads/2018/10/imp6533.jpg,https://reygoma.com.ar/producto/art-5003/,ALFA ROMEO,DERECHO
REY GOMA,5002,SOPORTE / GOMA-METAL,ALFA ROMEO,,,"(7601064) Silentblock central brazo de suspensión delantera (19.9mm) modelos 145, 146, 155 y 164.",7601064 | 19.9mm,https://reygoma.com.ar/wp-content/uploads/2018/10/imp6524.jpg,https://reygoma.com.ar/producto/art-5002/,ALFA ROMEO,CENTRO
REY GOMA,5001,SOPORTE / GOMA-METAL,ALFA ROMEO,,,"(7601065) Silentblock extremo brazo de suspensión delantera izquierda ( 19.9mm) modelos 145, 146, 155 y 164.",7601065 | 19.9mm,https://reygoma.com.ar/wp-content/uploads/2018/10/imp6523.jpg,https://reygoma.com.ar/producto/art-5001/,ALFA ROMEO,IZQUIERDO
REY GOMA,5000,SOPORTE / GOMA-METAL,ALFA ROMEO,,,"(7601068) Silentblock extremo brazo de suspensión delantera derecha (19.9mm) modelos 145, 146, 155 y 164",7601068 | 19.9mm,https://reygoma.com.ar/wp-content/uploads/2018/10/imp6522.jpg,https://reygoma.com.ar/producto/art-5000/,ALFA ROMEO,DERECHO
REY GOMA,8826,SOPORTE / GOMA-METAL,BEDFORD,,,(Reforma) Soporte central de cardán sin pestaña para rulemán N° 88509,Reforma,https://reygoma.com.ar/wp-content/uploads/2018/10/88261x1.jpg,https://reygoma.com.ar/producto/art-8826/,BEDFORD,CENTRO
REY GOMA,8815/1,SOPORTE / GOMA-METAL,BEDFORD,,,(B5QH4827) Soporte central de cardán para rulemán N° 88508,B5QH4827,https://reygoma.com.ar/wp-content/uploads/2018/10/88051x1.jpg,https://reygoma.com.ar/producto/art-8815-1/,BEDFORD,CENTRO
REY GOMA,8812,SOPORTE / GOMA-METAL,BEDFORD,,,(7146286) Soporte delantero de motor y Chevrolet diesel,7146286,https://reygoma.com.ar/wp-content/uploads/2018/10/88121x1.jpg,https://reygoma.com.ar/producto/art-8812/,BEDFORD,
REY GOMA,8811,PEDAL,BEDFORD,,,(6315014) Cubre pedal de freno y de embrague,6315014,https://reygoma.com.ar/wp-content/uploads/2018/10/88111x1.jpg,https://reygoma.com.ar/producto/art-8811/,BEDFORD,
REY GOMA,8809,SOPORTE DE CAJA,BEDFORD,,,(6328287) Soporte caja de velocidades,6328287,https://reygoma.com.ar/wp-content/uploads/2018/10/88091x1.jpg,https://reygoma.com.ar/producto/art-8809/,BEDFORD,CAJA
