codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente
7804,BUJE,1995 2004 2005 2010,BUJE | TRAS | buje elastico trasero parte trasera fiat ducato- 1995/2004 - boxer- 1995/2004 - ducato - 2005/2010 - boxer 2005/2010,1304640080,,https://www.tamarit.com.ar/image/productos/997804.jpg,https://www.tamarit.com.ar/image/productos/997804.jpg,VTH
7806,FUELLE,,FUELLE | TRAS | fuelle amortiguador trasero fiat palio - siena - nuevo palio - nuevo siena - nuevo uno - mobi./ nuevo-palio-fase-2 / nuevo-palio-fase-3,46466618,,https://www.tamarit.com.ar/image/productos/997806.jpg,https://www.tamarit.com.ar/image/productos/997806.jpg,VTH
7807,BUJE DE PARRILLA,,BUJE DE PARRILLA | DEL | buje de parrilla suspension delantera fiat qubo / alfa romeo mito parte trasera.,51811978,,https://www.tamarit.com.ar/image/productos/997807.jpg,https://www.tamarit.com.ar/image/productos/997807.jpg,VTH
7808,BUJE DE PARRILLA,,BUJE DE PARRILLA | DEL | buje de parrilla delantera fiat qubo / alfa romeo mito - parte delantera,51811977,,https://www.tamarit.com.ar/image/productos/997808.jpg,https://www.tamarit.com.ar/image/productos/997808.jpg,VTH
7809,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | DEL | buje de barra estabilizadora delantera fiat qubo - linea / alfa romeo mito,51785488,,https://www.tamarit.com.ar/image/productos/997809.jpg,https://www.tamarit.com.ar/image/productos/997809.jpg,VTH
7810,APOYO,,APOYO | DEL | apoyo espiral delantero fiat stilo,51766333,,https://www.tamarit.com.ar/image/productos/997810.jpg,https://www.tamarit.com.ar/image/productos/997810.jpg,VTH
7811,BUJE DE PARRILLA,,BUJE DE PARRILLA | DEL | OEM . buje parrilla delantera anterior fiat 500 (1 caño),,,https://www.tamarit.com.ar/image/productos/997811.jpg,https://www.tamarit.com.ar/image/productos/997811.jpg,VTH
8200,DE,2008 2011,DE | DE BUJES TRE juego de bujes tren del. peugeot 208-2008 / citroen c3 2011/.. - c3 picasso - c3 aircross (4 piezas) 7485 x 2 + 7486 x 2 .,JUEGO,192,https://www.tamarit.com.ar/image/productos/998200-192.jpg,https://www.tamarit.com.ar/image/productos/998200-192.jpg,VTH
8200,DE,,DE | DE BUJES TRE juego de bujes tren del. renault master-3 (6 piezas) 8914 x 2 + 8915 x 2 + 8917 x 2.,JUEGO,193,https://www.tamarit.com.ar/image/productos/998200-193.jpg,https://www.tamarit.com.ar/image/productos/998200-193.jpg,VTH
8200,DE,2012 2013,DE | DE BUJES TRE juego de bujes tren del. chevrolet cobalt 2013/.. - onix 2013/.. - prisma 2013/.. - spin 2012/.. (6 piezas) 8814 x 2 + 8823 x 2 + 9010 x 2..,JUEGO,195,https://www.tamarit.com.ar/image/productos/998200-195.jpg,https://www.tamarit.com.ar/image/productos/998200-195.jpg,VTH
